Inspection_ID,Date,Product,Production_Line,Shift,Units_Produced,Defective_Units,Temperature_C,Soldering_Temperature_C,Voltage_V,Defect_Type,Inspection_Result,Production_Cost
1001,2026-01-02,PCB_A,Line_1,Morning,1200,18,25,245,5.02,Soldering,Fail,48000
1002,2026-01-03,PCB_B,Line_2,Evening,1100,12,24,238,4.98,None,Pass,44000
1003,2026-01-04,PCB_C,Line_3,Night,1350,25,29,252,5.10,Component,Fail,54000
1004,2026-01-05,PCB_A,Line_1,Evening,1250,20,27,248,5.05,Connection,Fail,50000
1005,2026-01-06,PCB_B,Line_2,Morning,1150,8,23,240,5.00,None,Pass,46000
1006,2026-01-07,PCB_C,Line_3,Evening,1400,30,31,255,5.12,Soldering,Fail,56000
1007,2026-01-08,PCB_A,Line_1,Night,1180,15,26,246,5.03,None,Pass,47200
1008,2026-01-09,PCB_B,Line_2,Morning,1220,10,24,239,4.99,Connection,Fail,48800
1009,2026-01-10,PCB_C,Line_3,Morning,1380,28,30,253,5.09,Component,Fail,55200
1010,2026-01-11,PCB_A,Line_1,Evening,1270,22,28,249,5.06,Soldering,Fail,50800
1011,2026-01-12,PCB_B,Line_2,Night,1160,7,22,237,4.97,None,Pass,46400
1012,2026-01-13,PCB_C,Line_3,Evening,1420,32,32,257,5.13,Connection,Fail,56800
1013,2026-01-14,PCB_A,Line_1,Morning,1210,14,25,244,5.01,None,Pass,48400
1014,2026-01-15,PCB_B,Line_2,Evening,1190,11,26,241,5.00,Soldering,Fail,47600
1015,2026-01-16,PCB_C,Line_3,Night,1360,27,30,254,5.11,Component,Fail,54400
1016,2026-01-17,PCB_A,Line_1,Morning,1230,19,27,247,5.04,Connection,Fail,49200
1017,2026-01-18,PCB_B,Line_2,Night,1170,9,23,238,4.99,None,Pass,46800
1018,2026-01-19,PCB_C,Line_3,Morning,1450,35,33,258,5.14,Soldering,Fail,58000
1019,2026-01-20,PCB_A,Line_1,Evening,1260,21,28,250,5.07,Component,Fail,50400
1020,2026-01-21,PCB_B,Line_2,Morning,1200,6,22,236,4.96,None,Pass,48000
1021,2026-01-22,PCB_C,Line_3,Evening,1410,31,32,256,5.12,Connection,Fail,56400
1022,2026-01-23,PCB_A,Line_1,Night,1190,16,26,245,5.03,None,Pass,47600
1023,2026-01-24,PCB_B,Line_2,Evening,1210,13,25,242,5.01,Soldering,Fail,48400
1024,2026-01-25,PCB_C,Line_3,Night,1390,29,31,254,5.10,Component,Fail,55600
1025,2026-01-26,PCB_A,Line_1,Morning,1240,17,27,248,5.05,Connection,Fail,49600
1026,2026-01-27,PCB_B,Line_2,Morning,1180,5,21,235,4.95,None,Pass,47200
1027,2026-01-28,PCB_C,Line_3,Evening,1430,33,32,257,5.13,Soldering,Fail,57200
1028,2026-01-29,PCB_A,Line_1,Evening,1280,23,29,251,5.08,Component,Fail,51200
1029,2026-01-30,PCB_B,Line_2,Night,1150,8,22,237,4.98,None,Pass,46000
1030,2026-01-31,PCB_C,Line_3,Morning,1470,36,33,259,5.15,Connection,Fail,58800
